Post,Caption,Date,likesComment,IdFatherComment,IdChildComment,Username,UserComment
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-01T18:51:33.000Z,0,88,,thejasminedavis,I can't wait to get one
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-02T14:21:37.000Z,0,89,,investment_711,Pure ecstacy! He just sealed the date.🔥🔥🔥
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-05T23:49:34.000Z,0,90,,the_freem_team,Awwww... That looks like me and wifey type of love lol follow the Team for AUTHENTIC Videos 🧡🙌🏼
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-05T23:49:47.000Z,0,91,,the_freem_team,@teslamotors
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-06T00:46:11.000Z,1 ,92,,the.only.patel,@alishap15
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-06T07:45:33.000Z,0,93,,sheyda_star,😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-10T04:34:50.000Z,0,94,,parth_xv,Thanks to all the engineers working behind @teslamotors.
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-12T11:56:16.000Z,0,95,,marwanthephidelt,@andrewgoot I think he hates me for it tbh
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-05-18T12:23:26.000Z,1 ,96,,petertriminator,@mrs_kat_pearce remember doing this?
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-02-20T17:57:46.000Z,0,97,,steelframeconect,Top
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-02-21T11:41:56.000Z,0,98,,soldiers_voice,🤣
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-02-27T05:55:47.000Z,0,99,,_sayravanessa,@chrischaidez123 youuuu.
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-03-05T20:37:30.000Z,0,100,,benko66992,@wisko5 😂
https://www.instagram.com/p/B166OkVBPJR/,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-03-05T20:39:36.000Z,0,101,,coderreg,@veronikahfx
